tweet_text,created_at,n_words,party
@realDonaldTrump I wouldn't boast about compliments from Rush Limbaugh. Hes a pill popping lunatic with the credibility of Pinocchio.,2017-02-17 11:53:30,10,Rep
"@ehartman1975  You're able to sleep at night??? Oh, how I envy you .... @HillaryClinton",2017-02-17 11:53:38,5,Dem
What I actually hear every time @realDonaldTrump opens his mouth... https://t.co/TY4d6IvMyT via @youtube,2017-02-17 11:53:49,7,Rep
@realpoliticin @gcamp4 @HillaryClinton @jaketapper   GLAD TO SEE A MILLENNIAL SPEAK OUT 📢📢 GOOD ON U!TY,2016-08-30 14:41:44,7,Dem
"@CFBNerd76 @realDonaldTrump @KellyAnnPolls  It will get worse before it gets better, but you can join the resistance. Fight for truth.",2017-02-17 08:47:43,9,Rep
"@MitchCumsteen1 @handimanner Wow Mitch, I gotta tell ya, @realDonaldTrump grateful to you. That said, stop being a low-life leaker. Terrible",2017-02-17 08:48:44,12,Rep
"@southerntalker @SenateGOP @SenateDems @HouseDemocrats @HouseGOP @HillaryClinton you see, even the devil has no pull. JESUS IS IN CONTROL",2017-02-17 08:49:04,6,Dem
@realDonaldTrump you won 57.25% of the electoral college vote. Only George W. Bush (53.26% &amp; 59.47%) has less than you down to Jimmy Carter,2017-02-17 11:51:42,16,Rep
"@realDonaldTrump Only one not happy is u, cuz 200mil are onto your scheme. U r not popular, u r failing miserably,… https://t.co/njixcGdlVv",2017-02-17 11:51:47,16,Rep
"@realDonaldTrump What a ridiculous dupe you are! Mess Conference was a rare display of insanity, ignorance and outright lies. Frightening!",2017-02-17 11:52:11,11,Rep
@baalter @tamaraleighllc @realDonaldTrump Totally unacceptable. DC has no concept of budgets or actually working a 40 work week.,2017-02-17 11:52:16,10,Rep
@realDonaldTrump TV gold Mr President.  keep up the good work.,2017-02-17 11:52:17,7,Rep
@realDonaldTrump best ever for sure. Amazing success.,2017-02-17 11:52:38,5,Rep
@IngrahamAngle @Morning_Joe @realDonaldTrump Laura Morning Morons while never get it they actually think Mika is a political commentator,2017-02-17 11:52:42,10,Rep
"Sir, please stop making America pay for your ridiculous expenses. We can't afford you.  @realDonaldTrump https://t.co/PXeZVHWs0K",2017-02-17 11:52:55,10,Rep
@realDonaldTrump thank God you're not teaching high school science and only leading the free world #uranium,2017-02-17 11:53:08,10,Rep
"@tonyposnanski @joburr4 @realDonaldTrump you should have been here 9-10 yrs ago, you can't help that you weren't born yet",2017-02-17 11:53:30,8,Rep
@Mike_P_Williams @realDonaldTrump he is making all those propagandist's heads pop...like a zit,2017-02-17 11:53:31,6,Rep
"""I see many untruthful things"" umm @realDonaldTrump are you 12 like you're not meant to care",2017-02-17 11:53:40,10,Rep
@butchparnell @realDonaldTrump @YouTube .....just untrue. Liberal media Obama and OFA trying to destroy this country. Is that what you want?,2017-02-17 11:53:51,9,Dem
"@realDonaldTrump do you know any other word except ""Fake media""?",2017-02-17 11:54:04,5,Rep
Coming Thursday's its 'Eat The Press' with @realDonaldTrump sorry for little Chuckie Todd-Ler and his childish fiends- cant wait 4 round 2,2017-02-17 11:54:08,16,Rep
#President @realDonaldTrump's first 12 days have been too radical to handle (part I) @BlastingNews… https://t.co/EMrbuy29g7,2017-02-17 08:46:56,6,Rep
"TAKE THE SURVEY! But ignore the begging for donations at the end. @realDonaldTrump can't afford to fight the ""unfai… https://t.co/Oy7UOr66Qr",2017-02-17 08:48:51,10,Rep
@JonAguiar @realDonaldTrump waaaaaa.. liberals still hurting.  Grow up.,2017-02-17 11:51:43,5,Rep
@realDonaldTrump nice statements?Never knew there were any nice statements.When I see videos onFacebook of it's nothin but negative feedback,2017-02-17 11:51:49,12,Rep
@realDonaldTrump Good !  They should be ashamed of themselves.   We are sick of them trating you this way.  Very fake news.  Haha !Love it !,2017-02-17 11:51:51,9,Rep
@realDonaldTrump omg... Snow flakes dont have a clue evidenced by their comments.  How stupid can stupid get? Ya know ya can't fix stupid.,2017-02-17 11:51:58,17,Rep
@realDonaldTrump I've heard that you have not made the transition from campaigner to president,2017-02-17 11:52:09,6,Rep
FAKE NEWS I TELL YA LOL! https://t.co/Wyex3K3qdz,2017-02-17 11:52:10,5,Nothing
@realDonaldTrump You did great. It's about time the press got what they deserved. I wonder if most of them are still on Soros' payroll.,2017-02-17 11:52:14,9,Rep
@realDonaldTrump smart idea to try and turn ur supporters against the Media.So what ever fucked up shit you do next no one would believe ryt,2017-02-17 11:52:15,15,Rep
"Hey @realDonaldTrump, the illegitimate &amp; unhinged president, you're getting hammered by @Morning_Joe &amp; that the one you called crazy -Ironic",2017-02-17 11:52:23,12,Rep
"@realDonaldTrump So much for your waterways. How short-sighted and backwards you are!  Coal is old, dirty technology",2017-02-17 11:52:45,9,Rep
Lol oh well if rush liked it... https://t.co/NZQwQR2pgR,2017-02-17 11:52:49,5,Nothing
@patrioticsap @realDonaldTrump would love to continue but I can't.  Enjoyed the back and forth though.,2017-02-17 11:53:02,8,Rep
@IngrahamAngle @Morning_Joe @realDonaldTrump Here is problem. World doesn't hear #Trump way lower middle class US whites did.,2017-02-17 11:53:08,9,Rep
@mikd33 @realDonaldTrump hahahahahaha dumbass how long did it take you to come up with that stupid shit childish,2017-02-17 11:53:26,8,Rep
"@thehill @realDonaldTrump @POTUS who the fuck gives classified info to the media. Trump,you must get this SOBS who leaked the information.",2017-02-17 11:53:29,11,Rep
I tried to listen to him the other day and the stupidity had me shaking my head said @POTUS didn't have to follow j… https://t.co/VNMRT2JRLg,2017-02-17 11:53:32,9,Nothing
@realDonaldTrump President Trump your reaching outto t/ Black Caucus is appreciated Cont addressing Black community wn possible it matters.,2017-02-17 11:53:36,14,Rep
Rush said they were like confused cats being toyed with by @POTUS and his magical laser light. Agree. https://t.co/xV9yQEaAT4,2017-02-17 11:53:42,10,Nothing
@realDonaldTrump Facts on the Pollution caused by the US Coal Industry https://t.co/owPTrtRpEb,2017-02-17 11:53:46,6,Rep
"Corrupt oligarchs like @HillaryClinton &amp; @POTUS @BarackObama don't care about you, even if you're black or female!! https://t.co/jlsXWB17Zs",2016-08-30 14:41:45,8,Dem
"This is really the President of the United States? Are we sure an 10 year old boy isn't at the controls?
https://t.co/bOzBJkWoOa",2017-02-17 08:46:57,10,Nothing
@realDonaldTrump Nobody except you cares about the election anymore. The campaign is over. Do the job you were hired for.,2017-02-17 08:48:12,8,Rep
@realDonaldTrump 1.Cheat 2.fraud 3.liar 4. crook 5.Woman abuser 6. CRAZY  @POTUS https://t.co/UOXS7wLtqq,2017-02-17 08:48:28,13,Rep
💯💯💯! Some of us were not asleep when warmongering Hillary threatened to take Russia on during her campaign. WW3 ave… https://t.co/eFBtfKSawK,2017-02-17 08:48:44,11,Nothing
@realDonaldTrump As satire goes it was simply marvellous. You should give up your day job &amp; get your own show. Please. #TrumpPressConference,2017-02-17 11:52:03,11,Rep
"@realdonaldtrump  Woo........Hoo..........Woo.......Hoo......Woo......Hoo....
lol......",2017-02-17 11:52:08,7,Nothing
"@realDonaldTrump 46th out of the 58 largest electoral college wins.  Just letting you know...your win, was literally in the 79th percentile.",2017-02-17 11:52:27,12,Rep
"@RJSzczerba @LoriWest2 @realDonaldTrump Trumpcare is GOP Genocide. Help millionaire doctors, billion dollar drug/hospital corps STEAL EVERY",2017-02-17 11:52:35,13,Rep
@realDonaldTrump You put the Democrat fanboys and fangirls on notice. https://t.co/gNFfpnZMki,2017-02-17 11:52:54,5,Rep
@realDonaldTrump you make up stuff all the time and don't admit it. Stop destroying the environment for kick backs.,2017-02-17 11:53:22,9,Rep
"@realDonaldTrump Real news, fake president. You are an embarrassment to the USA and to all Americans.",2017-02-17 11:53:28,7,Rep
"@mikd33 @realDonaldTrump there's one missing, YOU! Smh we see what educates you",2017-02-17 11:53:36,5,Rep
@realDonaldTrump Rush Limbaugh IS fake media.  Lap dog to the #ChaosPOTUS,2017-02-17 11:53:45,6,Rep
@realDonaldTrump it was nice to see a Republican stick it too them . Good Job,2017-02-17 11:53:55,6,Rep
@FoxNews @AriFleischer @realDonaldTrump keep believing your fake polls. Trump will keep winning!,2017-02-17 11:54:07,7,Rep
"@realDonaldTrump  You know those media
Poofters won't stop but we're not listening
anyway.",2017-02-17 11:54:08,7,Rep
@Stuartyoung001 @realDonaldTrump that's because his words then can't be manipulated to fit their agenda.,2017-02-17 11:54:21,5,Rep
@POTUS @realDonaldTrump I could do a better job at being President. Admit it.,2017-02-17 08:46:59,5,Rep
@realDonaldTrump ''THIS IS WRONG -  EXTREME BIAS #Washington court against #Christian florist sodomite wedding case' https://t.co/9WfF3K1AXO,2017-02-17 08:47:42,8,Rep
@realDonaldTrump running the USA like a business.  He's the lying salesman... https://t.co/zUHL9cPD4S,2017-02-17 08:48:01,6,Rep
